coral_cycle_id,coral_peak_age,coral_peak_d18o,coral_start,coral_end,clim_cycle_id,clim_peak_age,clim_peak_d18o
18,1960.4992,25.72674,1959.9886,1961.1899,1,1958.6215,0.46757
19,1961.4934,25.82514,1961.1899,1962.1198,2,1959.6215,0.5812
20,1962.6506,25.74033,1962.1198,1963.2707,3,1960.5394,0.38199
21,1963.79,25.84114,1963.2707,1964.2511,4,1961.6215,0.40948
22,1965.0479,25.88253,1964.2511,1965.7235,5,1962.6215,0.37685
23,1966.4217,25.67122,1965.7235,1967.0798,6,1963.7885,0.42399
24,1967.8009,25.68095,1967.0798,1968.1648,7,1964.7091,0.30197
25,1968.8164,25.97875,1968.1648,1969.1723,8,1965.6215,0.73879
26,1969.5641,25.72771,1969.1723,1970.0635,9,1966.6215,0.58695
27,1970.5955,25.72329,1970.0635,1971.226,10,1967.5366,0.30973
28,1972.5291,25.80312,1971.226,1973.0085,11,1968.8761,0.39457
29,1973.6198,25.96289,1973.0085,1975.3722,12,1970.6215,0.31877
30,1976.4324,25.83747,1975.3722,1977.3096,13,1971.5366,0.23233
31,1977.7532,25.88257,1977.3096,1979.6221,14,1972.5394,0.63582
32,1980.2732,25.79549,1979.6221,1980.8358,15,1973.7064,0.37897
33,1981.491,25.8874,1980.8358,1982.0064,16,1974.6215,0.43975
34,1982.5219,25.92511,1982.0064,1982.8924,17,1975.6215,0.30617
35,1983.2629,25.94971,1982.8924,1984.1683,18,1976.7091,0.67818
36,1985.3227,25.67968,1984.1683,1985.3695,19,1977.7064,0.40265
37,1986.5986,25.8846,1985.3695,1987.0955,20,1979.6215,0.44861
38,1987.5925,25.77293,1987.0955,1988.1208,21,1980.6242,0.20781
39,1988.6567,25.78673,1988.1208,1989.0507,22,1981.7064,0.26442
40,1989.563,25.89111,1989.0507,1989.9807,23,1982.6215,0.59029
41,1990.2982,25.7414,1989.9807,1990.6782,24,1983.5366,0.2482
42,1990.8102,25.63019,1990.6782,1991.2982,25,1984.6242,0.07219
43,1991.4759,25.45483,1991.2982,1991.9182,26,1985.6215,0.01282
44,1992.2999,25.71509,1991.9182,1992.8869,27,1986.7064,0.36344
45,1993.4852,25.69669,1992.8869,1993.7394,28,1987.6215,0.3767
46,1993.8574,25.45153,1993.7394,1994.3594,29,1988.6242,-0.11994
47,1994.8526,25.46449,1994.3594,1995.1732,30,1989.6215,0.08081
48,1995.7387,25.68284,1995.1732,1996.5294,31,1990.7064,0.21053
49,1997.5997,25.86096,1996.5294,1998.0746,32,1992.5394,0.38769
50,1998.5496,25.89022,1998.0746,1999.0661,33,1993.6215,0.44713
51,1999.5826,25.85782,1999.0661,2000.1718,34,1994.7885,0.24671
52,2000.5979,25.60871,2000.1718,2001.0243,35,1995.7064,0.11763
53,2001.6346,25.53917,2001.0243,2001.9543,36,1996.6242,0.24088
54,2002.7981,25.92537,2001.9543,2004.1243,37,1997.7064,0.67341
55,2004.7554,25.61584,2004.1243,2005.248,38,1999.6215,0.04784
56,2005.5888,25.56356,2005.248,2006.178,39,2000.6242,0.1891
57,2006.6351,25.6026,2006.178,2007.108,40,2001.6215,0.26211
58,2007.6402,25.63946,2007.108,2007.9217,41,2002.7064,0.49101
59,2008.0598,25.55671,2007.9217,2008.4255,42,2003.7064,0.32663
60,2008.8173,25.69112,2008.4255,2009.278,43,2004.6242,0.52273
61,2009.5606,25.5067,2009.278,2009.9755,44,2005.7064,0.20915
62,2010.3242,25.51524,2009.9755,2010.3242,45,2006.6215,0.33719
