dataset,depth,point_idx,age_original,age_shifted,shift,d18o,d13c,sea_level
A,-160,1,1996.5190,1994.8361,-1.6829,25.44065,-2.69632,
A,-160,2,1996.7857,1994.9670,-1.8187,25.27501,-2.31145,
A,-160,3,1997.0523,1995.1174,-1.9349,25.17270,-2.02944,
A,-160,4,1997.1952,1995.2921,-1.9031,25.29588,-2.23260,
A,-160,5,1997.3380,1995.3918,-1.9462,25.30968,-2.69988,
A,-160,6,1997.4809,1995.5111,-1.9698,25.33486,-3.13097,
A,-160,7,1997.6238,1995.5928,-2.0310,25.48571,-3.22718,
A,-160,8,1997.7666,1995.6905,-2.0761,25.38992,-2.89118,
A,-160,9,1997.9095,1995.8356,-2.0739,25.27809,-2.97922,
A,-160,10,1998.0523,1995.9488,-2.1035,25.21337,-2.79224,
A,-160,11,1998.1190,1996.0749,-2.0441,25.18952,-3.07087,
A,-160,12,1998.1857,1996.2169,-1.9688,25.17381,-3.14514,
A,-160,13,1998.2523,1996.3298,-1.9225,25.25619,-3.34257,
A,-160,14,1998.3190,1996.4693,-1.8497,25.41153,-3.29913,
A,-160,15,1998.3857,1996.6283,-1.7574,25.28089,-3.00971,
A,-160,16,1998.4523,1996.6948,-1.7575,25.20055,-2.79704,
A,-160,17,1998.5190,1996.7997,-1.7193,25.06208,-2.81766,
A,-160,18,1998.5857,1997.0042,-1.5815,25.07529,-2.92421,
A,-160,19,1998.6523,1997.2056,-1.4467,25.05981,-2.99443,
A,-160,20,1998.7190,1997.3361,-1.3829,25.18195,-3.53025,
A,-160,21,1998.7857,1997.4345,-1.3512,25.33145,-3.88966,
A,-160,22,1998.8523,1997.6287,-1.2236,25.59825,-3.13245,
A,-160,23,1998.9190,1997.7986,-1.1204,25.44156,-2.71372,
A,-160,24,1998.9857,1997.9127,-1.0730,25.31361,-2.32194,
A,-160,25,1999.0523,1997.9977,-1.0546,25.27307,-2.50685,
A,-160,26,1999.1904,1998.0705,-1.1199,25.15724,-2.48093,
A,-160,27,1999.3285,1998.1315,-1.1970,25.25688,-2.90153,
A,-160,28,1999.4666,1998.2374,-1.2292,24.99031,-2.62495,
A,-160,29,1999.6047,1998.4124,-1.1923,25.19577,-3.21523,
A,-160,30,1999.7428,1998.4952,-1.2476,25.45255,-3.30932,
A,-160,31,1999.8809,1998.6025,-1.2784,25.57529,-2.82672,
A,-160,32,2000.0190,1998.7151,-1.3039,25.40088,-2.95296,
B,-154,1,1996.2190,1995.5583,-0.6607,25.72815,-2.46054,
B,-154,2,1996.3579,1995.6969,-0.6610,25.27993,-2.68384,
B,-154,3,1996.4968,1995.7926,-0.7042,25.52489,-3.21726,
B,-154,4,1996.6357,1995.8732,-0.7625,25.03485,-2.87214,
B,-154,5,1996.7746,1995.9710,-0.8036,25.03681,-2.37710,
B,-154,6,1996.9134,1996.0785,-0.8349,24.78194,-2.48709,
B,-154,7,1997.0523,1996.2433,-0.8090,25.15866,-2.34962,
B,-154,8,1997.2190,1996.3198,-0.8992,25.30641,-2.24429,
B,-154,9,1997.3857,1996.4356,-0.9501,25.47580,-2.55319,
B,-154,10,1997.7190,1996.5416,-1.1774,25.48444,-3.52844,
B,-154,11,1997.8857,1996.6836,-1.2021,25.21526,-3.17939,
B,-154,12,1998.0523,1996.7916,-1.2607,25.06286,-2.78727,
B,-154,13,1998.1773,1996.9479,-1.2294,24.88685,-2.70424,
B,-154,14,1998.3023,1997.1132,-1.1891,25.22620,-2.36018,
B,-154,15,1998.4273,1997.2899,-1.1374,24.86536,-2.45830,
B,-154,16,1998.5523,1997.5321,-1.0202,25.43751,-2.55438,
B,-154,17,1998.6773,1997.7165,-0.9608,25.44432,-2.91184,
B,-154,18,1998.8023,1997.8481,-0.9542,25.36482,-3.05101,
B,-154,19,1998.9273,1997.9324,-0.9949,25.32992,-3.03343,
B,-154,20,1999.0523,1998.0866,-0.9657,25.22996,-3.03700,
B,-154,21,1999.1732,1998.2798,-0.8934,25.15203,-2.67001,
B,-154,22,1999.2940,1998.4577,-0.8363,25.30609,-2.70793,
